timestamp,Infrared to Red Signal Ratio
03/15/20 00:00:10,-6
03/15/20 00:01:10,-5
03/15/20 00:02:10,-16
03/15/20 00:03:10,0
03/15/20 00:04:10,0
03/15/20 00:05:11,16
03/15/20 00:06:11,3
03/15/20 00:07:11,-5
03/15/20 00:08:11,-4
03/15/20 00:09:11,-17
03/15/20 00:10:13,8
03/15/20 00:11:13,0
03/15/20 00:12:13,63
03/15/20 00:13:13,-6
03/15/20 00:14:13,-1
03/15/20 00:15:13,0
03/15/20 00:16:14,0
03/15/20 00:17:14,-1
03/15/20 00:18:14,-4
03/15/20 00:19:14,0
03/15/20 00:20:14,-6
03/15/20 00:21:14,-2
03/15/20 00:22:15,2
03/15/20 00:23:15,0
03/15/20 00:24:15,30
03/15/20 00:25:15,-1
03/15/20 00:26:15,-1
03/15/20 00:27:15,-9
03/15/20 00:28:15,-2
03/15/20 00:29:16,6
03/15/20 00:30:16,5
03/15/20 00:31:16,-7
03/15/20 00:32:16,0
03/15/20 00:33:16,-1
03/15/20 00:34:16,-31
03/15/20 00:35:17,-1
03/15/20 00:36:17,-17
03/15/20 00:37:17,0
03/15/20 00:38:17,-1
03/15/20 00:39:17,12
03/15/20 00:40:17,0
03/15/20 00:41:17,0
03/15/20 00:42:18,0
03/15/20 00:43:18,2
03/15/20 00:44:18,0
03/15/20 00:45:18,-2
03/15/20 00:46:19,-30
03/15/20 00:47:19,20
03/15/20 00:48:19,0
03/15/20 00:49:19,12
03/15/20 00:50:19,2
03/15/20 00:51:19,-6
03/15/20 00:52:20,-1
03/15/20 00:53:20,-24
03/15/20 00:54:20,-1
03/15/20 00:55:20,-2
03/15/20 00:56:20,0
03/15/20 00:57:20,0
03/15/20 00:58:20,1
03/15/20 00:59:20,0
03/15/20 01:00:20,-4
03/15/20 01:01:21,-6
03/15/20 01:02:21,-6
03/15/20 01:03:21,-3
03/15/20 01:04:21,1
03/15/20 01:05:21,-7
03/15/20 01:06:21,-1
03/15/20 01:07:21,-8
03/15/20 01:08:22,0
03/15/20 01:09:22,3
03/15/20 01:10:22,0
03/15/20 01:11:22,2
03/15/20 01:12:22,0
03/15/20 01:13:24,0
03/15/20 01:14:24,8
03/15/20 01:15:24,0
03/15/20 01:16:24,-25
03/15/20 01:17:27,-1
03/15/20 01:18:27,0
03/15/20 01:19:27,0
03/15/20 01:20:28,-1
03/15/20 01:21:28,-1
03/15/20 01:22:28,1
03/15/20 01:23:28,-8
03/15/20 01:24:28,-9
03/15/20 01:25:28,0
03/15/20 01:26:29,0
03/15/20 01:27:29,0
03/15/20 01:28:29,1
03/15/20 01:29:32,-1
03/15/20 01:30:33,-57
03/15/20 01:31:33,-5
03/15/20 01:32:33,28
03/15/20 01:33:33,0
03/15/20 01:34:33,-1
03/15/20 01:35:33,-1
03/15/20 01:36:34,2
03/15/20 01:37:34,-1
03/15/20 01:38:34,0
03/15/20 01:39:34,-5
03/15/20 01:40:34,0
03/15/20 01:41:34,-1
03/15/20 01:42:34,0
03/15/20 01:43:35,2
03/15/20 01:44:35,-1
03/15/20 01:45:36,-1
03/15/20 01:46:36,0
03/15/20 01:47:36,-3
03/15/20 01:48:36,5
03/15/20 01:49:37,-1
03/15/20 01:50:37,0
03/15/20 01:51:37,19
03/15/20 01:52:37,-7
03/15/20 01:53:37,0
03/15/20 01:54:37,-14
03/15/20 01:55:37,0
03/15/20 01:56:38,6
03/15/20 01:57:38,-1
03/15/20 01:58:38,15
03/15/20 01:59:38,0
03/15/20 02:00:38,18
03/15/20 02:01:39,45
03/15/20 02:02:39,5
03/15/20 02:03:39,21
03/15/20 02:04:39,1
03/15/20 02:05:39,-11
03/15/20 02:06:39,5
03/15/20 02:07:40,0
03/15/20 02:08:40,-1
03/15/20 02:09:40,0
03/15/20 02:10:40,1
03/15/20 02:11:40,-2
03/15/20 02:12:40,-1
03/15/20 02:13:40,5
03/15/20 02:14:41,-11
03/15/20 02:15:41,-1
03/15/20 02:16:41,0
03/15/20 02:17:41,1
03/15/20 02:18:41,29
03/15/20 02:19:41,0
03/15/20 02:20:41,2
03/15/20 02:21:41,2
03/15/20 02:22:42,14
03/15/20 02:23:42,-1
03/15/20 02:24:42,4
03/15/20 02:25:42,-1
03/15/20 02:26:42,12
03/15/20 02:27:42,-34
03/15/20 02:28:42,-13
03/15/20 02:29:43,0
03/15/20 02:30:43,0
03/15/20 02:31:43,0
03/15/20 02:32:43,-18
03/15/20 02:33:43,1
03/15/20 02:34:43,-6
03/15/20 02:35:43,-1
03/15/20 02:36:44,0
03/15/20 02:37:44,0
03/15/20 02:38:44,-13
03/15/20 02:39:44,-48
03/15/20 02:40:44,-6
03/15/20 02:41:44,0
03/15/20 02:42:44,-6
03/15/20 02:43:45,-11
03/15/20 02:44:45,-56
03/15/20 02:45:45,-6
03/15/20 02:46:45,-12
03/15/20 02:47:45,4
03/15/20 02:48:45,0
03/15/20 02:49:45,-5
03/15/20 02:50:45,-16
03/15/20 02:51:46,-4
03/15/20 02:52:46,3
03/15/20 02:53:46,1
03/15/20 02:54:46,3
03/15/20 02:55:46,2
03/15/20 02:56:46,-9
03/15/20 02:57:47,-9
03/15/20 02:58:47,-4
03/15/20 02:59:47,7
03/15/20 03:00:47,-16
03/15/20 03:01:47,-2
03/15/20 03:02:47,-2
03/15/20 03:03:48,0
03/15/20 03:04:48,-54
03/15/20 03:05:49,-52
03/15/20 03:06:49,0
03/15/20 03:07:49,0
03/15/20 03:08:49,-35
03/15/20 03:09:49,-7
03/15/20 03:10:49,0
03/15/20 03:11:50,-7
03/15/20 03:12:50,8
03/15/20 03:13:50,-2
03/15/20 03:14:50,37
03/15/20 03:15:50,2
03/15/20 03:16:50,0
03/15/20 03:17:50,-1
03/15/20 03:18:51,0
03/15/20 03:19:51,-5
03/15/20 03:20:51,2
03/15/20 03:21:50,11
03/15/20 03:22:50,0
03/15/20 03:23:50,10
03/15/20 03:24:50,3
03/15/20 03:25:50,-1
03/15/20 03:26:51,2
03/15/20 03:27:51,-1
03/15/20 03:28:51,-1
03/15/20 03:29:51,1
03/15/20 03:30:51,0
03/15/20 03:31:51,0
03/15/20 03:32:52,-57
03/15/20 03:33:52,-1
03/15/20 03:34:52,-6
03/15/20 03:35:52,-7
03/15/20 03:36:52,-3
03/15/20 03:37:53,6
03/15/20 03:38:53,-2
03/15/20 03:39:53,5
03/15/20 03:40:53,0
03/15/20 03:41:53,0
03/15/20 03:42:53,-5
03/15/20 03:43:54,3
03/15/20 03:44:54,0
03/15/20 03:45:54,-1
03/15/20 03:46:54,0
03/15/20 03:47:54,-6
03/15/20 03:48:54,6
03/15/20 03:49:54,-3
03/15/20 03:50:55,-1
03/15/20 03:51:55,-2
03/15/20 03:52:55,-1
03/15/20 03:53:55,3
03/15/20 03:54:55,-21
03/15/20 03:55:55,-1
03/15/20 03:56:55,0
03/15/20 03:57:56,-2
03/15/20 03:58:56,-8
03/15/20 03:59:56,0
03/15/20 04:00:56,11
03/15/20 04:01:56,-26
03/15/20 04:02:56,7
03/15/20 04:03:56,-11
03/15/20 04:04:57,31
03/15/20 04:05:57,-3
03/15/20 04:06:57,0
03/15/20 04:07:57,0
03/15/20 04:08:57,0
03/15/20 04:09:58,0
03/15/20 04:10:58,-22
03/15/20 04:11:59,-3
03/15/20 04:12:59,17
03/15/20 04:13:59,-1
03/15/20 04:14:59,-3
03/15/20 04:15:59,0
03/15/20 04:16:59,4
03/15/20 04:17:59,-1
03/15/20 04:19:00,0
03/15/20 04:20:00,-5
03/15/20 04:21:00,-1
03/15/20 04:22:00,-26
03/15/20 04:23:00,0
03/15/20 04:24:00,-73
03/15/20 04:25:00,-8
03/15/20 04:26:00,-9
03/15/20 04:27:00,-7
03/15/20 04:28:00,-1
03/15/20 04:29:00,-28
03/15/20 04:30:00,-2
03/15/20 04:31:00,1
03/15/20 04:32:01,4
03/15/20 04:33:01,-1
03/15/20 04:34:01,4
03/15/20 04:35:01,6
03/15/20 04:36:01,-1
03/15/20 04:37:01,16
03/15/20 04:38:02,-3
03/15/20 04:39:02,1
03/15/20 04:40:02,-7
03/15/20 04:41:02,1
03/15/20 04:42:02,7
03/15/20 04:43:02,12
03/15/20 04:44:03,-21
03/15/20 04:45:03,-2
03/15/20 04:46:03,-7
03/15/20 04:47:03,0
03/15/20 04:48:03,-2
03/15/20 04:49:03,-9
03/15/20 04:50:03,1
03/15/20 04:51:04,-1
03/15/20 04:52:04,-1
03/15/20 04:53:04,-4
03/15/20 04:54:04,-102
03/15/20 04:55:04,47
03/15/20 04:56:04,-2
03/15/20 04:57:05,0
03/15/20 04:58:05,4
03/15/20 04:59:05,-1
03/15/20 05:00:05,-1
03/15/20 05:01:05,0
03/15/20 05:02:05,0
