timestamp,Infrared to Red Signal Ratio
03/11/20 00:00:15,1
03/11/20 00:01:15,12
03/11/20 00:02:15,0
03/11/20 00:03:15,-11
03/11/20 00:04:15,-26
03/11/20 00:05:15,0
03/11/20 00:06:16,0
03/11/20 00:07:16,1
03/11/20 00:08:16,0
03/11/20 00:09:16,5
03/11/20 00:10:16,2
03/11/20 00:11:16,-2
03/11/20 00:12:17,-8
03/11/20 00:13:17,6
03/11/20 00:14:17,2
03/11/20 00:15:17,10
03/11/20 00:16:17,-1
03/11/20 00:17:17,2
03/11/20 00:18:17,0
03/11/20 00:19:18,-2
03/11/20 00:20:18,1
03/11/20 00:21:18,3
03/11/20 00:22:18,1
03/11/20 00:23:18,0
03/11/20 00:24:19,-1
03/11/20 00:25:19,0
03/11/20 00:26:19,-8
03/11/20 00:27:19,1
03/11/20 00:28:19,-4
03/11/20 00:29:19,-1
03/11/20 00:30:20,1
03/11/20 00:31:20,0
03/11/20 00:32:20,0
03/11/20 00:33:20,-1
03/11/20 00:34:20,1
03/11/20 00:35:20,8
03/11/20 00:36:20,-11
03/11/20 00:37:20,0
03/11/20 00:38:21,-2
03/11/20 00:39:21,-3
03/11/20 00:40:21,-1
03/11/20 00:41:21,-1
03/11/20 00:42:21,21
03/11/20 00:43:21,2
03/11/20 00:44:22,0
03/11/20 00:45:22,0
03/11/20 00:46:22,-14
03/11/20 00:47:22,41
03/11/20 00:48:22,0
03/11/20 00:49:22,-1
03/11/20 00:50:22,-12
03/11/20 00:51:23,-5
03/11/20 00:52:23,20
03/11/20 00:53:23,-41
03/11/20 00:54:23,0
03/11/20 00:55:24,0
03/11/20 00:56:24,-1
03/11/20 00:57:24,-2
03/11/20 00:58:24,20
03/11/20 00:59:24,2
03/11/20 01:00:24,0
03/11/20 01:01:25,-1
03/11/20 01:02:25,1
03/11/20 01:03:25,-22
03/11/20 01:04:25,-12
03/11/20 01:05:25,-12
03/11/20 01:06:25,46
03/11/20 01:07:25,-3
03/11/20 01:08:26,1
03/11/20 01:09:26,1
03/11/20 01:10:26,-1
03/11/20 01:11:26,24
03/11/20 01:12:27,1
03/11/20 01:13:27,-1
03/11/20 01:14:27,-3
03/11/20 01:15:27,-7
03/11/20 01:16:27,5
03/11/20 01:17:27,0
03/11/20 01:18:28,-12
03/11/20 01:19:28,-3
03/11/20 01:20:28,0
03/11/20 01:21:28,-1
03/11/20 01:22:28,-14
03/11/20 01:23:28,0
03/11/20 01:24:28,1
03/11/20 01:25:28,-27
03/11/20 01:26:28,3
03/11/20 01:27:28,-1
03/11/20 01:28:28,31
03/11/20 01:29:28,-7
03/11/20 01:30:28,-7
03/11/20 01:31:29,0
03/11/20 01:32:29,-19
03/11/20 01:33:29,0
03/11/20 01:34:29,-11
03/11/20 01:35:29,5
03/11/20 01:36:29,-3
03/11/20 01:37:30,2
03/11/20 01:38:30,7
03/11/20 01:39:30,8
03/11/20 01:40:30,0
03/11/20 01:41:30,1
03/11/20 01:42:30,3
03/11/20 01:43:30,1
03/11/20 01:44:31,-3
03/11/20 01:45:31,-1
03/11/20 01:46:31,2
03/11/20 01:47:31,-28
03/11/20 01:48:31,7
03/11/20 01:49:31,7
03/11/20 01:50:31,19
03/11/20 01:51:32,0
03/11/20 01:52:32,2
03/11/20 01:53:32,11
03/11/20 01:54:32,26
03/11/20 01:55:32,-3
03/11/20 01:56:32,-6
03/11/20 01:57:33,-5
03/11/20 01:58:33,14
03/11/20 01:59:33,6
03/11/20 02:00:33,0
03/11/20 02:01:33,-35
03/11/20 02:02:33,-29
03/11/20 02:03:34,4
03/11/20 02:04:34,-9
03/11/20 02:05:34,-30
03/11/20 02:06:34,-1
03/11/20 02:07:34,-4
03/11/20 02:08:34,-1
03/11/20 02:09:34,-29
03/11/20 02:10:35,1
03/11/20 02:11:35,-2
03/11/20 02:12:35,-6
03/11/20 02:13:36,-3
03/11/20 02:14:36,6
03/11/20 02:15:36,-14
03/11/20 02:16:36,-7
03/11/20 02:17:36,-8
03/11/20 02:18:36,0
03/11/20 02:19:36,0
03/11/20 02:20:37,-2
03/11/20 02:21:37,8
03/11/20 02:22:37,2
03/11/20 02:23:37,22
03/11/20 02:24:37,-31
03/11/20 02:25:37,-1
03/11/20 02:26:37,-46
03/11/20 02:27:37,8
03/11/20 02:28:37,3
03/11/20 02:29:37,-1
03/11/20 02:30:37,0
03/11/20 02:31:38,7
03/11/20 02:32:38,1
03/11/20 02:33:38,0
03/11/20 02:34:38,0
03/11/20 02:35:38,-6
03/11/20 02:36:38,6
03/11/20 02:37:39,0
03/11/20 02:38:39,1
03/11/20 02:39:39,-1
03/11/20 02:40:39,9
03/11/20 02:41:39,0
03/11/20 02:42:39,0
03/11/20 02:43:40,-2
03/11/20 02:44:40,-3
03/11/20 02:45:40,5
03/11/20 02:46:40,1
03/11/20 02:47:40,-11
03/11/20 02:48:40,0
03/11/20 02:49:40,-1
03/11/20 02:50:41,0
03/11/20 02:51:41,-1
03/11/20 02:52:41,3
03/11/20 02:53:41,2
03/11/20 02:54:41,-2
03/11/20 02:55:41,1
03/11/20 02:56:42,0
03/11/20 02:57:42,-2
03/11/20 02:58:42,-4
03/11/20 02:59:42,3
03/11/20 03:00:43,-4
03/11/20 03:01:43,-3
03/11/20 03:02:43,-1
03/11/20 03:03:43,-1
03/11/20 03:04:43,1
03/11/20 03:05:43,-2
03/11/20 03:06:44,0
03/11/20 03:07:44,0
03/11/20 03:08:44,6
03/11/20 03:09:44,4
03/11/20 03:10:44,0
03/11/20 03:11:44,6
03/11/20 03:12:44,-3
03/11/20 03:13:45,-1
03/11/20 03:14:45,2
03/11/20 03:15:45,-1
03/11/20 03:16:45,-1
03/11/20 03:17:45,0
03/11/20 03:18:45,-4
03/11/20 03:19:45,-1
03/11/20 03:20:45,-2
03/11/20 03:21:45,3
03/11/20 03:22:46,0
03/11/20 03:23:46,-37
03/11/20 03:24:46,-3
03/11/20 03:25:46,1
03/11/20 03:26:46,1
03/11/20 03:27:46,7
03/11/20 03:28:47,0
03/11/20 03:29:47,-1
03/11/20 03:30:47,-1
03/11/20 03:31:47,0
03/11/20 03:32:47,-7
03/11/20 03:33:47,-7
03/11/20 03:34:47,0
