timestamp,Infrared to Red Signal Ratio
07/07/20 00:00:05,0
07/07/20 00:01:05,-10
07/07/20 00:02:05,-5
07/07/20 00:03:05,-5
07/07/20 00:04:05,-3
07/07/20 00:05:06,-1
07/07/20 00:06:06,-1
07/07/20 00:07:06,-1
07/07/20 00:08:06,-1
07/07/20 00:09:06,0
07/07/20 00:10:06,0
07/07/20 00:11:06,0
07/07/20 00:12:07,-1
07/07/20 00:13:07,-4
07/07/20 00:14:07,0
07/07/20 00:15:07,-2
07/07/20 00:16:07,-1
07/07/20 00:17:07,15
07/07/20 00:18:07,-1
07/07/20 00:19:08,-9
07/07/20 00:20:08,-10
07/07/20 00:21:08,-4
07/07/20 00:22:08,0
07/07/20 00:23:08,0
07/07/20 00:24:08,7
07/07/20 00:25:09,12
07/07/20 00:26:09,20
07/07/20 00:27:09,-61
07/07/20 00:28:09,-13
07/07/20 00:29:09,0
07/07/20 00:30:09,-6
07/07/20 00:31:09,-3
07/07/20 00:32:10,-5
07/07/20 00:33:10,0
07/07/20 00:34:10,0
07/07/20 00:35:10,-3
07/07/20 00:36:10,-3
07/07/20 00:37:10,-4
07/07/20 00:38:10,-1
07/07/20 00:39:11,-21
07/07/20 00:40:11,-3
07/07/20 00:41:11,-3
07/07/20 00:42:11,2
07/07/20 00:43:11,5
07/07/20 00:44:11,2
07/07/20 00:45:12,-1
07/07/20 00:46:12,0
07/07/20 00:47:12,1
07/07/20 00:48:12,-1
07/07/20 00:49:12,10
07/07/20 00:50:12,-2
07/07/20 00:51:12,-4
07/07/20 00:52:13,4
07/07/20 00:53:13,2
07/07/20 00:54:13,-7
07/07/20 00:55:13,2
07/07/20 00:56:13,1
07/07/20 00:57:13,2
07/07/20 00:58:13,2
07/07/20 00:59:14,-9
07/07/20 01:00:14,2
07/07/20 01:01:14,-7
07/07/20 01:02:14,-1
07/07/20 01:03:14,-1
07/07/20 01:04:14,0
07/07/20 01:05:15,-9
07/07/20 01:06:15,3
07/07/20 01:07:15,2
07/07/20 01:08:15,0
07/07/20 01:09:15,2
07/07/20 01:10:15,3
07/07/20 01:11:15,3
07/07/20 01:12:16,0
07/07/20 01:13:16,1
07/07/20 01:14:16,-1
07/07/20 01:15:16,-9
07/07/20 01:16:16,-2
07/07/20 01:17:16,9
07/07/20 01:18:16,-2
07/07/20 01:19:17,-1
07/07/20 01:20:17,4
07/07/20 01:21:17,-1
07/07/20 01:22:17,2
07/07/20 01:23:17,-2
07/07/20 01:24:17,0
07/07/20 01:25:18,-2
07/07/20 01:26:18,-6
07/07/20 01:27:18,-5
07/07/20 01:28:18,1
07/07/20 01:29:18,42
07/07/20 01:30:18,-9
07/07/20 01:31:18,-1
07/07/20 01:32:19,-4
07/07/20 01:33:19,0
07/07/20 01:34:19,-3
07/07/20 01:35:19,55
07/07/20 01:36:19,-14
07/07/20 01:37:19,4
07/07/20 01:38:19,0
07/07/20 01:39:20,-9
07/07/20 01:40:20,13
07/07/20 01:41:20,0
07/07/20 01:42:20,3
07/07/20 01:43:20,0
07/07/20 01:44:20,0
07/07/20 01:45:21,-11
07/07/20 01:46:21,-1
07/07/20 01:47:21,12
07/07/20 01:48:21,2
07/07/20 01:49:21,-6
07/07/20 01:50:21,-4
07/07/20 01:51:21,8
07/07/20 01:52:22,5
07/07/20 01:53:22,-9
07/07/20 01:54:22,-2
07/07/20 01:55:22,-27
07/07/20 01:56:22,-3
07/07/20 01:57:22,0
07/07/20 01:58:22,4
07/07/20 01:59:23,6
07/07/20 02:00:23,7
07/07/20 02:01:23,-27
07/07/20 02:02:23,-2
07/07/20 02:03:23,4
07/07/20 02:04:23,14
07/07/20 02:05:24,10
07/07/20 02:06:24,1
07/07/20 02:07:24,7
07/07/20 02:08:24,-2
07/07/20 02:09:24,3
07/07/20 02:10:24,2
07/07/20 02:11:24,15
07/07/20 02:12:25,5
07/07/20 02:13:25,-1
07/07/20 02:14:25,0
07/07/20 02:15:25,0
07/07/20 02:16:25,4
07/07/20 02:17:25,-1
07/07/20 02:18:25,5
07/07/20 02:19:26,0
07/07/20 02:20:26,-4
07/07/20 02:21:26,1
07/07/20 02:22:26,0
07/07/20 02:23:26,5
07/07/20 02:24:26,-3
07/07/20 02:25:27,-1
07/07/20 02:26:27,-1
07/07/20 02:27:27,2
07/07/20 02:28:27,-3
07/07/20 02:29:27,-3
07/07/20 02:30:27,0
07/07/20 02:31:27,-1
07/07/20 02:32:28,-3
07/07/20 02:33:28,-3
07/07/20 02:34:28,-16
07/07/20 02:35:28,0
07/07/20 02:36:28,-15
07/07/20 02:37:28,-33
07/07/20 02:38:28,-5
07/07/20 02:39:29,3
07/07/20 02:40:29,-1
07/07/20 02:41:29,0
07/07/20 02:42:29,-1
07/07/20 02:43:29,-1
07/07/20 02:44:29,6
07/07/20 02:45:30,-1
07/07/20 02:46:30,1
07/07/20 02:47:30,-5
07/07/20 02:48:30,-1
07/07/20 02:49:30,0
07/07/20 02:50:30,-3
07/07/20 02:51:30,0
07/07/20 02:52:31,-3
07/07/20 02:53:31,-4
07/07/20 02:54:31,-11
07/07/20 02:55:31,2
07/07/20 02:56:31,-19
07/07/20 02:57:31,4
07/07/20 02:58:31,-6
07/07/20 02:59:32,0
07/07/20 03:00:32,3
07/07/20 03:01:32,-7
07/07/20 03:02:32,18
07/07/20 03:03:32,-2
07/07/20 03:04:32,-3
07/07/20 03:05:33,0
07/07/20 03:06:33,23
07/07/20 03:07:33,9
07/07/20 03:08:33,-2
07/07/20 03:09:33,1
07/07/20 03:10:33,3
07/07/20 03:11:33,0
07/07/20 03:12:34,2
07/07/20 03:13:34,2
07/07/20 03:14:34,8
07/07/20 03:15:34,0
07/07/20 03:16:34,0
07/07/20 03:17:34,-1
07/07/20 03:18:34,9
07/07/20 03:19:35,0
07/07/20 03:20:35,3
07/07/20 03:21:35,-43
07/07/20 03:22:35,-1
07/07/20 03:23:35,11
07/07/20 03:24:35,-7
07/07/20 03:25:36,-39
07/07/20 03:26:36,-14
07/07/20 03:27:36,-29
07/07/20 03:28:36,36
07/07/20 03:29:36,10
07/07/20 03:30:36,53
07/07/20 03:31:36,8
07/07/20 03:32:37,0
07/07/20 03:33:37,-1
07/07/20 03:34:37,-10
07/07/20 03:35:37,26
07/07/20 03:36:37,44
07/07/20 03:37:37,11
07/07/20 03:38:37,0
07/07/20 03:39:38,2
07/07/20 03:40:38,24
07/07/20 03:41:38,-8
07/07/20 03:42:38,0
07/07/20 03:43:38,0
07/07/20 03:44:38,19
07/07/20 03:45:39,-1
07/07/20 03:46:39,1
07/07/20 03:47:39,5
07/07/20 03:48:39,-6
07/07/20 03:49:39,2
07/07/20 03:50:39,-2
07/07/20 03:51:39,-1
07/07/20 03:52:40,0
07/07/20 03:53:40,-1
07/07/20 03:54:40,0
07/07/20 03:55:40,-1
07/07/20 03:56:40,-1
07/07/20 03:57:40,-1
07/07/20 03:58:40,-6
07/07/20 03:59:41,-1
07/07/20 04:00:42,0
07/07/20 04:01:42,-1
07/07/20 04:02:42,-2
07/07/20 04:03:42,-6
07/07/20 04:04:42,30
07/07/20 04:05:43,-5
07/07/20 04:06:43,6
07/07/20 04:07:43,-1
07/07/20 04:08:43,-1
07/07/20 04:09:43,0
07/07/20 04:10:43,-3
07/07/20 04:11:43,-9
07/07/20 04:12:44,-7
07/07/20 04:13:44,-4
07/07/20 04:14:44,-5
07/07/20 04:15:44,1
07/07/20 04:16:44,0
07/07/20 04:17:44,-4
07/07/20 04:18:45,6
07/07/20 04:19:45,3
07/07/20 04:20:45,-1
07/07/20 04:21:45,-4
07/07/20 04:22:45,0
07/07/20 04:23:45,0
07/07/20 04:24:45,-1
07/07/20 04:25:46,2
07/07/20 04:26:46,26
07/07/20 04:27:46,-1
07/07/20 04:28:46,-1
07/07/20 04:29:46,0
07/07/20 04:30:46,0
07/07/20 04:31:46,0
07/07/20 04:32:47,7
07/07/20 04:33:47,0
07/07/20 04:34:47,-1
07/07/20 04:35:47,0
07/07/20 04:36:47,0
07/07/20 04:37:47,0
07/07/20 04:38:48,0
07/07/20 04:39:48,-2
07/07/20 04:40:48,0
07/07/20 04:41:48,-2
07/07/20 04:42:48,-1
07/07/20 04:43:48,1
07/07/20 04:44:48,0
07/07/20 04:45:49,-3
07/07/20 04:46:49,0
07/07/20 04:47:49,0
07/07/20 04:48:49,-2
07/07/20 04:49:49,0
07/07/20 04:50:49,0
07/07/20 04:51:49,-1
07/07/20 04:52:50,3
07/07/20 04:53:50,3
07/07/20 04:54:50,7
07/07/20 04:55:50,-1
07/07/20 04:56:50,21
07/07/20 04:57:50,-2
07/07/20 04:58:51,-3
07/07/20 04:59:51,17
07/07/20 05:00:51,59
07/07/20 05:01:51,21
07/07/20 05:02:51,4
07/07/20 05:03:51,50
07/07/20 05:04:51,0
07/07/20 05:05:52,13
07/07/20 05:06:52,9
07/07/20 05:07:52,0
07/07/20 05:08:52,-15
07/07/20 05:09:52,10
