timestamp,Infrared to Red Signal Ratio
04/03/20 01:12:01,2
04/03/20 01:13:01,0
04/03/20 01:27:00,3
04/03/20 01:28:01,-1
04/03/20 01:29:01,2
04/03/20 01:30:01,4
04/03/20 01:31:01,1
04/03/20 01:32:01,0
04/03/20 01:33:01,41
04/03/20 01:34:01,10
04/03/20 01:35:02,1
04/03/20 01:36:02,5
04/03/20 01:37:02,0
04/03/20 01:38:02,0
04/03/20 01:39:02,-1
04/03/20 01:40:02,-19
04/03/20 01:41:03,-25
04/03/20 01:42:03,-1
04/03/20 01:43:04,-35
04/03/20 01:44:04,-8
04/03/20 01:45:04,-1
04/03/20 01:46:05,0
04/03/20 01:47:08,-8
04/03/20 01:48:08,-11
04/03/20 01:49:08,12
04/03/20 01:50:08,1
04/03/20 01:51:08,0
04/03/20 01:52:09,0
04/03/20 01:53:09,22
04/03/20 01:54:09,9
04/03/20 01:55:09,29
04/03/20 01:56:09,-17
04/03/20 01:57:09,1
04/03/20 01:58:09,0
04/03/20 01:59:10,-1
04/03/20 02:00:10,-9
04/03/20 02:01:11,0
04/03/20 02:02:11,-7
04/03/20 02:03:11,2
04/03/20 02:04:11,2
04/03/20 02:05:11,7
04/03/20 02:06:13,1
04/03/20 02:07:13,-1
04/03/20 02:08:14,-5
04/03/20 02:09:14,-6
04/03/20 02:10:14,2
04/03/20 02:11:14,-7
04/03/20 02:12:14,66
04/03/20 02:13:14,7
04/03/20 02:14:15,-1
04/03/20 02:15:15,-1
04/03/20 02:16:15,66
04/03/20 02:17:15,-4
04/03/20 02:18:15,-13
04/03/20 02:19:16,0
04/03/20 02:20:16,-1
04/03/20 02:21:16,-18
04/03/20 02:22:16,-1
04/03/20 02:23:16,6
04/03/20 02:24:16,0
04/03/20 02:25:16,1
04/03/20 02:26:17,-2
04/03/20 02:27:17,-1
04/03/20 02:28:17,-20
04/03/20 02:29:17,-20
04/03/20 02:30:17,-2
04/03/20 02:31:17,-16
04/03/20 02:32:17,2
04/03/20 02:33:18,-6
04/03/20 02:34:18,-1
04/03/20 02:35:18,-1
04/03/20 02:36:18,11
04/03/20 02:37:18,-1
04/03/20 02:38:18,5
04/03/20 02:39:19,0
04/03/20 02:40:19,0
04/03/20 02:41:19,-2
04/03/20 02:42:19,-5
04/03/20 02:43:19,-6
04/03/20 02:44:19,-6
04/03/20 02:45:19,-1
