timestamp,Infrared to Red Signal Ratio
04/16/20 00:00:10,1
04/16/20 00:01:10,-1
04/16/20 00:02:10,-5
04/16/20 00:03:11,-1
04/16/20 00:04:11,-1
04/16/20 00:05:11,-4
04/16/20 00:06:11,0
04/16/20 00:07:11,3
04/16/20 00:08:11,-3
04/16/20 00:09:11,-12
04/16/20 00:10:12,-1
04/16/20 00:11:12,-1
04/16/20 00:12:12,-6
04/16/20 00:13:12,-2
04/16/20 00:14:12,4
04/16/20 00:15:12,0
04/16/20 00:16:12,-4
04/16/20 00:17:13,-1
04/16/20 00:18:13,-1
04/16/20 00:19:13,-1
04/16/20 00:20:13,0
04/16/20 00:21:13,-5
04/16/20 00:22:13,-11
04/16/20 00:23:14,-1
04/16/20 00:24:14,-11
04/16/20 00:25:14,-4
04/16/20 00:26:14,-8
04/16/20 00:27:14,-4
04/16/20 00:28:14,-1
04/16/20 00:29:14,-3
04/16/20 00:30:15,-1
04/16/20 00:31:15,-1
04/16/20 00:32:15,-1
04/16/20 00:33:15,-2
04/16/20 00:34:15,0
04/16/20 00:35:15,-1
04/16/20 00:36:15,-2
04/16/20 00:37:16,-1
04/16/20 00:38:16,-6
04/16/20 00:39:16,3
04/16/20 00:40:16,-1
04/16/20 00:41:16,-1
04/16/20 00:42:16,0
04/16/20 00:43:17,-1
04/16/20 00:44:17,-1
04/16/20 00:45:17,-3
04/16/20 00:46:17,-10
04/16/20 00:47:17,2
04/16/20 00:48:17,-4
04/16/20 00:49:17,-4
04/16/20 00:50:18,-17
04/16/20 00:51:18,-3
04/16/20 00:52:18,-1
04/16/20 00:53:18,-7
04/16/20 00:54:18,-3
04/16/20 00:55:18,0
04/16/20 00:56:18,-1
04/16/20 00:57:19,-1
04/16/20 00:58:19,-6
04/16/20 00:59:19,1
04/16/20 01:00:19,12
04/16/20 01:01:19,-1
04/16/20 01:02:19,-1
04/16/20 01:03:20,-10
04/16/20 01:04:20,-1
04/16/20 01:05:20,27
04/16/20 01:06:20,-2
04/16/20 01:07:20,0
04/16/20 01:08:20,-25
04/16/20 01:09:20,-31
04/16/20 01:10:21,-2
04/16/20 01:11:21,-1
04/16/20 01:12:21,-1
04/16/20 01:13:21,5
04/16/20 01:14:21,9
04/16/20 01:15:21,-1
04/16/20 01:16:21,1
04/16/20 01:17:22,1
04/16/20 01:18:22,-39
04/16/20 01:19:22,0
04/16/20 01:20:22,4
04/16/20 01:21:22,-5
04/16/20 01:22:22,-18
04/16/20 01:23:23,-1
04/16/20 01:24:23,-3
04/16/20 01:25:23,10
04/16/20 01:26:23,-1
04/16/20 01:27:23,5
04/16/20 01:28:23,-2
04/16/20 01:29:23,6
04/16/20 01:30:24,25
04/16/20 01:31:24,-1
04/16/20 01:32:24,21
04/16/20 01:33:24,-1
04/16/20 01:34:24,-4
04/16/20 01:35:24,-1
04/16/20 01:36:24,0
04/16/20 01:37:25,0
04/16/20 01:38:25,0
04/16/20 01:39:25,0
04/16/20 01:40:25,1
04/16/20 01:41:25,7
04/16/20 01:42:25,2
04/16/20 01:43:26,0
04/16/20 01:44:26,1
04/16/20 01:45:26,0
04/16/20 01:46:26,1
04/16/20 01:47:26,-2
04/16/20 01:48:26,-2
04/16/20 01:49:26,3
04/16/20 01:50:27,-1
04/16/20 01:51:27,0
04/16/20 01:52:27,0
04/16/20 01:53:27,1
04/16/20 01:54:27,0
04/16/20 01:55:27,-1
04/16/20 01:56:27,0
04/16/20 01:57:28,0
04/16/20 01:58:28,16
04/16/20 01:59:28,1
04/16/20 02:00:28,-5
04/16/20 02:01:28,-1
04/16/20 02:02:28,22
04/16/20 02:03:29,-16
04/16/20 02:04:29,5
04/16/20 02:05:29,-1
04/16/20 02:06:29,2
04/16/20 02:07:29,-1
04/16/20 02:08:29,-26
04/16/20 02:09:29,0
04/16/20 02:10:30,-10
04/16/20 02:11:30,16
04/16/20 02:12:30,-1
04/16/20 02:13:30,-1
04/16/20 02:14:30,-1
04/16/20 02:15:30,-3
04/16/20 02:16:30,-5
04/16/20 02:17:31,-2
04/16/20 02:18:31,-6
04/16/20 02:19:31,-3
04/16/20 02:20:31,-1
04/16/20 02:21:31,-1
04/16/20 02:22:31,2
04/16/20 02:23:32,-1
04/16/20 02:24:32,-3
