timestamp,Infrared to Red Signal Ratio
06/20/20 00:00:01,3
06/20/20 00:01:01,-9
06/20/20 00:02:01,-6
06/20/20 00:03:01,0
06/20/20 00:04:01,-4
06/20/20 00:05:01,-1
06/20/20 00:06:02,-1
06/20/20 00:07:02,-3
06/20/20 00:08:02,-1
06/20/20 00:09:02,0
06/20/20 00:10:02,0
06/20/20 00:11:02,-3
06/20/20 00:12:02,4
06/20/20 00:13:02,0
06/20/20 00:14:03,0
06/20/20 00:15:03,-1
06/20/20 00:16:03,0
06/20/20 00:17:03,-2
06/20/20 00:18:03,-2
06/20/20 00:19:03,0
06/20/20 00:20:04,-1
06/20/20 00:21:04,-1
06/20/20 00:22:04,-1
06/20/20 00:23:04,0
06/20/20 00:24:04,-1
06/20/20 00:25:04,0
06/20/20 00:26:06,-1
06/20/20 00:27:06,0
06/20/20 00:28:06,-2
06/20/20 00:29:06,-2
06/20/20 00:30:06,0
06/20/20 00:31:06,0
06/20/20 00:32:06,-51
06/20/20 00:33:07,-1
06/20/20 00:34:07,2
06/20/20 00:35:07,5
06/20/20 00:36:07,0
06/20/20 00:37:07,-2
06/20/20 00:38:07,-10
06/20/20 00:39:08,-23
06/20/20 00:40:08,20
06/20/20 00:41:08,-38
06/20/20 00:42:10,0
06/20/20 00:43:11,1
06/20/20 00:44:11,0
06/20/20 00:45:11,-1
06/20/20 00:46:11,-1
06/20/20 00:47:11,1
06/20/20 00:48:11,-1
06/20/20 00:49:11,-1
06/20/20 00:50:12,0
06/20/20 00:51:12,7
06/20/20 00:52:12,-1
06/20/20 00:53:12,-1
06/20/20 00:54:12,-1
06/20/20 00:55:12,2
06/20/20 00:56:13,3
06/20/20 00:57:13,5
06/20/20 00:58:13,0
06/20/20 00:59:13,-1
06/20/20 01:00:13,-6
06/20/20 01:01:13,-1
06/20/20 01:02:13,-1
06/20/20 01:03:14,-3
06/20/20 01:04:14,3
06/20/20 01:05:14,-1
06/20/20 01:06:14,2
06/20/20 01:07:14,-2
06/20/20 01:08:14,-5
06/20/20 01:09:14,-5
06/20/20 01:10:15,0
06/20/20 01:11:15,0
06/20/20 01:12:15,34
06/20/20 01:13:15,0
06/20/20 01:14:16,2
06/20/20 01:15:16,4
06/20/20 01:16:16,-1
06/20/20 01:17:16,0
06/20/20 01:18:16,0
06/20/20 01:19:17,-4
06/20/20 01:20:17,0
06/20/20 01:21:17,30
06/20/20 01:22:17,0
06/20/20 01:23:17,0
06/20/20 01:24:17,3
06/20/20 01:25:17,6
06/20/20 01:26:18,0
06/20/20 01:27:18,1
06/20/20 01:28:18,0
06/20/20 01:29:17,22
06/20/20 01:30:17,0
06/20/20 01:31:18,13
06/20/20 01:32:18,41
06/20/20 01:33:18,-9
06/20/20 01:34:18,-11
06/20/20 01:35:18,-68
06/20/20 01:36:18,-19
06/20/20 01:37:19,-14
06/20/20 01:38:19,-6
06/20/20 01:39:19,-1
06/20/20 01:40:19,0
06/20/20 01:41:19,0
06/20/20 01:42:19,-3
06/20/20 01:43:19,-4
06/20/20 01:44:20,-2
06/20/20 01:45:20,0
06/20/20 01:46:20,-10
06/20/20 01:47:20,-27
06/20/20 01:48:20,0
06/20/20 01:49:20,1
06/20/20 01:50:20,1
06/20/20 01:51:20,-3
06/20/20 01:52:21,-4
06/20/20 01:53:21,-1
06/20/20 01:54:21,-17
06/20/20 01:55:21,21
06/20/20 01:56:21,0
06/20/20 01:57:21,-13
06/20/20 01:58:22,0
06/20/20 01:59:22,33
06/20/20 02:00:22,-2
06/20/20 02:01:25,-1
06/20/20 02:02:25,8
06/20/20 02:03:26,-3
06/20/20 02:04:26,-5
06/20/20 02:05:26,-3
06/20/20 02:06:26,-1
06/20/20 02:07:26,0
06/20/20 02:08:26,-1
06/20/20 02:09:26,-1
06/20/20 02:10:27,-4
06/20/20 02:11:27,0
06/20/20 02:12:27,0
06/20/20 02:13:27,2
06/20/20 02:14:27,1
06/20/20 02:15:27,-1
06/20/20 02:16:28,-2
06/20/20 02:17:28,2
06/20/20 02:18:28,-2
06/20/20 02:19:28,-1
06/20/20 02:20:28,0
06/20/20 02:21:28,-1
06/20/20 02:22:28,-1
06/20/20 02:23:28,1
06/20/20 02:24:29,0
06/20/20 02:25:29,-3
06/20/20 02:26:29,3
06/20/20 02:27:29,-1
06/20/20 02:28:29,0
06/20/20 02:29:29,0
06/20/20 02:30:30,-1
06/20/20 02:31:30,6
06/20/20 02:32:30,-11
06/20/20 02:33:33,1
06/20/20 02:34:33,5
06/20/20 02:35:33,-4
06/20/20 02:36:33,-1
06/20/20 02:37:34,0
06/20/20 02:38:34,2
06/20/20 02:39:34,10
06/20/20 02:40:34,-1
06/20/20 02:41:34,1
06/20/20 02:42:34,-1
06/20/20 02:43:35,3
06/20/20 02:44:35,0
06/20/20 02:45:35,-3
06/20/20 02:46:35,6
06/20/20 02:47:35,0
06/20/20 02:48:35,1
06/20/20 02:49:36,2
06/20/20 02:50:36,-6
06/20/20 02:51:36,1
06/20/20 02:52:36,0
06/20/20 02:53:36,-1
06/20/20 02:54:36,-2
06/20/20 02:55:36,2
06/20/20 02:56:37,0
06/20/20 02:57:37,-1
06/20/20 02:58:37,-1
06/20/20 02:59:37,-1
06/20/20 03:00:37,9
06/20/20 03:01:37,13
06/20/20 03:02:38,-2
06/20/20 03:03:38,-5
06/20/20 03:04:38,3
06/20/20 03:05:41,13
06/20/20 03:06:41,16
06/20/20 03:07:41,2
06/20/20 03:08:41,-1
06/20/20 03:09:42,5
06/20/20 03:10:42,-10
06/20/20 03:11:42,0
06/20/20 03:12:42,-43
06/20/20 03:13:42,21
06/20/20 03:14:42,0
06/20/20 03:15:43,1
06/20/20 03:16:43,0
06/20/20 03:17:43,0
06/20/20 03:18:43,-1
06/20/20 03:19:43,-4
06/20/20 03:20:43,12
06/20/20 03:21:46,0
06/20/20 03:22:46,-5
06/20/20 03:23:46,0
06/20/20 03:24:47,-1
06/20/20 03:25:47,1
06/20/20 03:26:47,-1
06/20/20 03:27:47,2
06/20/20 03:28:47,1
06/20/20 03:29:47,-1
06/20/20 03:30:47,12
06/20/20 03:31:48,-5
06/20/20 03:32:48,0
06/20/20 03:33:48,2
06/20/20 03:34:48,-3
06/20/20 03:35:48,29
06/20/20 03:36:48,-1
06/20/20 03:37:49,14
06/20/20 03:38:49,3
06/20/20 03:39:49,19
06/20/20 03:40:49,-1
06/20/20 03:41:49,0
06/20/20 03:42:49,5
06/20/20 03:43:49,-15
06/20/20 03:44:50,-1
06/20/20 03:45:50,6
06/20/20 03:46:50,2
06/20/20 03:47:50,0
06/20/20 03:48:50,-3
06/20/20 03:49:50,-2
06/20/20 03:50:50,-1
06/20/20 03:51:55,-6
06/20/20 03:52:55,0
06/20/20 03:53:55,-1
06/20/20 03:54:55,0
06/20/20 03:55:55,-1
06/20/20 03:56:56,0
06/20/20 03:57:56,-1
06/20/20 03:58:56,2
06/20/20 03:59:56,-1
