timestamp,Infrared to Red Signal Ratio
06/18/20 00:00:35,0
06/18/20 00:01:36,-1
06/18/20 00:02:36,-3
06/18/20 00:03:36,-2
06/18/20 00:04:36,1
06/18/20 00:05:36,0
06/18/20 00:06:36,3
06/18/20 00:07:37,0
06/18/20 00:08:37,-1
06/18/20 00:09:37,-2
06/18/20 00:10:37,-1
06/18/20 00:11:37,2
06/18/20 00:12:37,1
06/18/20 00:13:37,-1
06/18/20 00:14:38,1
06/18/20 00:15:38,-2
06/18/20 00:16:38,-20
06/18/20 00:17:38,0
06/18/20 00:18:38,-1
06/18/20 00:19:38,0
06/18/20 00:20:38,-9
06/18/20 00:21:39,0
06/18/20 00:22:39,-10
06/18/20 00:23:39,-3
06/18/20 00:24:39,-1
06/18/20 00:25:39,-4
06/18/20 00:26:39,2
06/18/20 00:27:40,-1
06/18/20 00:28:40,-3
06/18/20 00:29:40,-4
06/18/20 00:30:40,0
06/18/20 00:31:40,-1
06/18/20 00:32:40,-2
06/18/20 00:33:40,-12
06/18/20 00:34:41,-71
06/18/20 00:35:41,-8
06/18/20 00:36:41,-1
06/18/20 00:37:41,2
06/18/20 00:38:41,-10
06/18/20 00:39:41,-2
06/18/20 00:40:41,-2
06/18/20 00:41:42,-4
06/18/20 00:42:42,-6
06/18/20 00:43:42,-57
06/18/20 00:44:42,0
06/18/20 00:45:42,-10
06/18/20 00:46:42,1
06/18/20 00:47:43,-1
06/18/20 00:48:43,-1
06/18/20 00:49:43,1
06/18/20 00:50:43,-4
06/18/20 00:51:43,-5
06/18/20 00:52:43,1
06/18/20 00:53:43,4
06/18/20 00:54:44,-11
06/18/20 00:55:44,-2
06/18/20 00:56:44,-2
06/18/20 00:57:44,-2
06/18/20 00:58:44,0
06/18/20 00:59:44,1
06/18/20 01:00:44,5
06/18/20 01:01:45,-1
06/18/20 01:02:45,-4
06/18/20 01:03:45,8
06/18/20 01:04:45,-3
06/18/20 01:05:45,-2
06/18/20 01:06:45,-1
06/18/20 01:07:46,0
06/18/20 01:08:46,1
06/18/20 01:09:46,-19
06/18/20 01:10:46,0
06/18/20 01:11:46,0
06/18/20 01:12:46,-1
06/18/20 01:13:46,1
06/18/20 01:14:47,5
06/18/20 01:15:47,0
06/18/20 01:16:47,-2
06/18/20 01:17:47,0
06/18/20 01:18:47,-1
06/18/20 01:19:47,-1
06/18/20 01:20:47,-20
06/18/20 01:21:48,-4
06/18/20 01:22:48,-58
06/18/20 01:23:48,3
06/18/20 01:24:48,-8
06/18/20 01:25:48,-17
06/18/20 01:26:48,2
06/18/20 01:27:49,32
06/18/20 01:28:49,1
06/18/20 01:29:49,2
06/18/20 01:30:49,-1
06/18/20 01:31:49,12
06/18/20 01:32:49,57
06/18/20 01:33:49,0
06/18/20 01:34:50,29
06/18/20 01:35:50,3
06/18/20 01:36:50,-15
06/18/20 01:37:50,-10
06/18/20 01:38:50,8
06/18/20 01:39:50,13
06/18/20 01:40:50,12
