timestamp,Infrared to Red Signal Ratio
06/03/20 00:00:58,33
06/03/20 00:01:58,-2
06/03/20 00:02:58,14
06/03/20 00:03:59,-4
06/03/20 00:04:59,1
06/03/20 00:05:59,-6
06/03/20 00:06:59,3
06/03/20 00:07:59,-2
06/03/20 00:08:59,0
06/03/20 00:09:59,2
06/03/20 00:11:00,1
06/03/20 00:12:00,1
06/03/20 00:13:00,-23
06/03/20 00:14:00,15
06/03/20 00:15:00,-1
06/03/20 00:16:00,4
06/03/20 00:17:00,-37
06/03/20 00:18:01,1
06/03/20 00:19:01,0
06/03/20 00:20:02,0
06/03/20 00:21:02,24
06/03/20 00:22:02,0
06/03/20 00:23:02,19
06/03/20 00:24:02,5
06/03/20 00:25:02,-4
06/03/20 00:26:02,2
06/03/20 00:27:03,8
06/03/20 00:28:03,6
06/03/20 00:29:03,-2
06/03/20 00:30:03,0
06/03/20 00:31:03,0
06/03/20 00:32:03,2
06/03/20 00:33:03,-2
06/03/20 00:34:04,1
06/03/20 00:35:04,-1
06/03/20 00:36:04,-11
06/03/20 00:37:04,-1
06/03/20 00:38:04,-13
06/03/20 00:39:04,-1
06/03/20 00:40:04,-2
06/03/20 00:41:05,-1
06/03/20 00:42:05,-2
06/03/20 00:43:05,-10
06/03/20 00:44:05,2
06/03/20 00:45:05,-20
06/03/20 00:46:05,2
06/03/20 00:47:05,-3
06/03/20 00:48:06,1
06/03/20 00:49:06,-1
06/03/20 00:50:06,-8
06/03/20 00:51:06,1
06/03/20 00:52:06,0
06/03/20 00:53:06,0
06/03/20 00:54:06,5
06/03/20 00:55:06,-2
06/03/20 00:56:06,-1
06/03/20 00:57:07,-1
06/03/20 00:58:07,-1
06/03/20 00:59:07,6
06/03/20 01:00:07,0
06/03/20 01:01:07,0
06/03/20 01:02:07,-1
06/03/20 01:03:08,2
06/03/20 01:04:08,-5
06/03/20 01:05:08,-1
06/03/20 01:06:08,0
06/03/20 01:07:08,-3
06/03/20 01:08:08,-1
06/03/20 01:09:08,1
06/03/20 01:10:09,0
06/03/20 01:11:09,-5
06/03/20 01:12:09,1
06/03/20 01:13:09,-1
06/03/20 01:14:09,-1
06/03/20 01:15:09,-4
06/03/20 01:16:09,0
06/03/20 01:17:10,-5
06/03/20 01:18:10,3
06/03/20 01:19:10,-2
06/03/20 01:20:10,-1
06/03/20 01:21:10,-1
06/03/20 01:22:10,0
06/03/20 01:23:11,-1
06/03/20 01:24:11,1
06/03/20 01:25:11,0
06/03/20 01:26:11,-5
06/03/20 01:27:11,-4
06/03/20 01:28:11,0
06/03/20 01:29:11,0
06/03/20 01:30:12,0
06/03/20 01:31:12,-1
06/03/20 01:32:12,0
06/03/20 01:33:12,-1
06/03/20 01:34:12,-1
06/03/20 01:35:12,19
06/03/20 01:36:12,17
06/03/20 01:37:13,3
06/03/20 01:38:13,-3
06/03/20 01:39:13,6
06/03/20 01:40:13,0
06/03/20 01:41:13,-1
06/03/20 01:42:13,-1
06/03/20 01:43:14,9
06/03/20 01:44:14,1
06/03/20 01:45:14,2
06/03/20 01:46:14,-1
06/03/20 01:47:14,0
06/03/20 01:48:14,1
06/03/20 01:49:14,-1
06/03/20 01:50:15,2
06/03/20 01:51:15,1
06/03/20 01:52:15,-13
06/03/20 01:53:15,1
06/03/20 01:54:15,-5
06/03/20 01:55:15,-5
06/03/20 01:56:15,-1
06/03/20 01:57:16,-18
06/03/20 01:58:16,0
06/03/20 01:59:16,-24
06/03/20 02:00:16,-1
06/03/20 02:01:16,0
06/03/20 02:02:16,0
06/03/20 02:03:17,0
06/03/20 02:04:17,-10
06/03/20 02:05:17,6
06/03/20 02:06:17,-1
06/03/20 02:07:17,41
06/03/20 02:08:17,36
06/03/20 02:09:17,26
06/03/20 02:10:18,1
06/03/20 02:11:18,35
06/03/20 02:12:18,41
06/03/20 02:13:18,7
06/03/20 02:14:18,10
06/03/20 02:15:18,8
06/03/20 02:16:18,33
06/03/20 02:17:19,-3
06/03/20 02:18:19,0
06/03/20 02:19:19,-1
06/03/20 02:20:19,-1
06/03/20 02:21:19,47
06/03/20 02:22:19,5
06/03/20 02:23:20,4
06/03/20 02:24:20,-4
06/03/20 02:25:20,-4
06/03/20 02:26:20,-1
06/03/20 02:27:20,-1
06/03/20 02:28:20,-1
06/03/20 02:29:20,-1
06/03/20 02:30:21,0
06/03/20 02:31:21,2
06/03/20 02:32:21,2
06/03/20 02:33:21,-4
06/03/20 02:34:21,0
06/03/20 02:35:21,-1
06/03/20 02:36:21,1
06/03/20 02:37:22,-2
06/03/20 02:38:22,-3
06/03/20 02:39:22,3
06/03/20 02:40:22,-1
06/03/20 02:41:22,1
06/03/20 02:42:22,-1
06/03/20 02:43:23,-1
06/03/20 02:44:23,0
06/03/20 02:45:23,3
06/03/20 02:46:23,-2
06/03/20 02:47:23,-5
06/03/20 02:48:23,22
06/03/20 02:49:23,-1
06/03/20 02:50:24,-29
06/03/20 02:51:24,-1
06/03/20 02:52:24,0
06/03/20 02:53:24,0
06/03/20 02:54:24,1
06/03/20 02:55:24,2
06/03/20 02:56:25,0
06/03/20 02:57:25,-1
06/03/20 02:58:25,-3
06/03/20 02:59:25,1
06/03/20 03:00:25,0
06/03/20 03:01:25,-14
06/03/20 03:02:25,-36
06/03/20 03:03:26,-6
06/03/20 03:04:26,3
06/03/20 03:05:26,-1
06/03/20 03:06:26,0
06/03/20 03:07:26,-1
06/03/20 03:08:26,1
06/03/20 03:09:26,4
06/03/20 03:10:27,1
06/03/20 03:11:27,0
06/03/20 03:12:27,8
06/03/20 03:13:27,1
06/03/20 03:14:27,8
06/03/20 03:15:27,2
06/03/20 03:16:28,0
06/03/20 03:17:28,1
06/03/20 03:18:28,-4
06/03/20 03:19:28,20
06/03/20 03:20:28,4
06/03/20 03:21:28,2
06/03/20 03:22:28,-1
06/03/20 03:23:29,-10
06/03/20 03:24:29,2
06/03/20 03:25:29,-1
06/03/20 03:26:29,0
06/03/20 03:27:29,-1
06/03/20 03:28:29,-1
06/03/20 03:29:29,-3
06/03/20 03:30:30,7
06/03/20 03:31:30,0
06/03/20 03:32:30,1
06/03/20 03:33:30,-4
06/03/20 03:34:30,-4
06/03/20 03:35:30,-14
06/03/20 03:36:31,-15
06/03/20 03:37:31,0
06/03/20 03:38:31,-5
06/03/20 03:39:31,-6
06/03/20 03:40:31,-2
06/03/20 03:41:31,-7
06/03/20 03:42:31,-4
06/03/20 03:43:32,24
06/03/20 03:44:32,-4
06/03/20 03:45:32,-51
06/03/20 03:46:32,-1
06/03/20 03:47:32,-2
06/03/20 03:48:32,-1
06/03/20 03:49:32,0
06/03/20 03:50:33,1
06/03/20 03:51:33,-10
06/03/20 03:52:33,0
06/03/20 03:53:33,-1
06/03/20 03:54:33,0
06/03/20 03:55:33,-3
06/03/20 03:56:34,-3
06/03/20 03:57:34,-4
06/03/20 03:58:34,-37
06/03/20 03:59:34,-1
06/03/20 04:00:34,-8
06/03/20 04:01:34,5
06/03/20 04:02:34,1
06/03/20 04:03:35,3
06/03/20 04:04:35,-2
06/03/20 04:05:35,-2
06/03/20 04:06:35,0
06/03/20 04:07:35,-8
06/03/20 04:08:35,0
06/03/20 04:09:35,0
06/03/20 04:10:36,0
06/03/20 04:11:36,-3
06/03/20 04:12:36,-1
06/03/20 04:13:36,-5
06/03/20 04:14:36,57
06/03/20 04:15:36,3
06/03/20 04:16:37,-1
06/03/20 04:17:37,5
06/03/20 04:18:37,5
06/03/20 04:19:37,1
06/03/20 04:20:37,-2
06/03/20 04:21:37,-1
06/03/20 04:22:37,-6
06/03/20 04:23:38,0
06/03/20 04:24:38,-3
06/03/20 04:25:38,0
06/03/20 04:26:38,0
06/03/20 04:27:38,-7
06/03/20 04:28:38,-1
06/03/20 04:29:38,0
06/03/20 04:30:39,-1
06/03/20 04:31:39,0
06/03/20 04:32:39,-8
06/03/20 04:33:39,-1
06/03/20 04:34:39,0
06/03/20 04:35:39,-2
06/03/20 04:36:40,-2
06/03/20 04:37:40,-2
