sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
27159569808,2020-05-14T08:31:00Z,86,19,23,44,108,66,0.07154742096505824
27144303779,2020-05-13T07:25:00Z,84,19,23,42,131,67,0.07375478927203065
27128439409,2020-05-12T07:22:30Z,86,17,23,46,88,68,0.0594059405940594
27074624310,2020-05-11T07:30:00Z,86,17,23,46,90,67,0.06950880444856349
27100072398,2020-05-10T07:30:00Z,79,18,23,38,84,69,0.06330472103004292
27086611107,2020-05-09T08:01:00Z,90,21,22,47,86,67,0.06315789473684211
27071103350,2020-05-08T07:22:30Z,84,19,23,42,94,67,0.070506454816286
27057110637,2020-05-07T06:44:00Z,86,21,22,43,99,66,0.061866125760649086
27039371122,2020-05-06T07:54:30Z,90,20,24,46,138,66,0.05675675675675676
27025992675,2020-05-05T07:55:30Z,87,19,23,45,107,66,0.0633245382585752
27010948535,2020-05-04T08:34:00Z,85,19,21,45,122,65,0.081214109926169
26978303500,2020-05-02T08:24:00Z,80,18,21,41,99,64,0.08371665133394664
26969753876,2020-05-01T08:54:30Z,83,19,22,42,82,65,0.09713375796178345
26954418402,2020-04-30T06:40:30Z,79,17,23,39,48,66,0.06264501160092807
26942181525,2020-04-29T08:27:30Z,87,20,23,44,101,66,0.06887966804979254
26924140758,2020-04-28T08:49:30Z,85,17,22,46,83,66,0.08325872873769025
26870681299,2020-04-27T08:02:01Z,80,16,22,42,90,64,0.06694129763130793
26897166637,2020-04-26T09:13:30Z,88,22,22,44,161,64,0.07471698113207548
26885034017,2020-04-25T08:39:30Z,83,22,22,39,96,64,0.08639308855291576
26871652990,2020-04-24T08:23:00Z,83,17,22,44,95,65,0.09606081548030408
26857637587,2020-04-23T08:30:00Z,88,19,23,46,82,65,0.06934306569343066
26839891817,2020-04-22T08:58:00Z,89,22,22,45,102,65,0.08684654300168634
26828821474,2020-04-21T08:50:00Z,88,21,23,44,79,66,0.07149240393208221
26813224340,2020-04-20T08:20:00Z,82,18,18,46,94,64,0.09460654288240496
26799267830,2020-04-19T07:39:30Z,81,16,23,42,85,64,0.07135777998017839
26788879046,2020-04-18T09:17:30Z,85,18,23,44,127,65,0.07341772151898734
26779422011,2020-04-17T08:17:00Z,84,17,22,45,70,65,0.0705596107055961
26779422010,2020-04-16T08:53:30Z,83,18,21,44,92,65,0.08683274021352314
26747081090,2020-04-15T08:34:30Z,83,17,21,45,94,66,0.08406725380304243
26713723041,2020-04-13T08:33:30Z,86,19,23,44,116,66,0.07017543859649122
26682515269,2020-04-11T09:24:00Z,82,16,21,45,81,66,0.07421576128538639
26676377655,2020-04-10T09:42:30Z,86,18,22,46,96,65,0.08108108108108109
26646587879,2020-04-08T08:40:30Z,83,17,21,45,93,65,0.08245755860953921
